Region;Contagiados con Atraso;Contagiados;Muertes;Muertes_DEIS;Recuperados;Infectados_Actuales;UCI;Fecha;Total_Contagiados
Prov_Biobío;480;496;;6;;;;5/28/2020;
Prov_Arauco;66;69;;0;;;;5/28/2020;
Prov_Concepción;1260;1381;;34;;;;5/29/2020;
Prov_Biobío;521;538;;6;;;;5/29/2020;
Prov_Arauco;78;82;;0;;;;5/29/2020;
Prov_Concepción;1309;1434;;35;;;;5/30/2020;
Prov_Biobío;560;578;;6;;;;5/30/2020;
Prov_Arauco;80;84;;0;;;;5/30/2020;
Prov_Concepción;1360;1490;;36;;;;5/31/2020;
Prov_Biobío;587;606;;6;;;;5/31/2020;
Prov_Arauco;90;94;;0;;;;5/31/2020;
Prov_Concepción;1366;1497;;36;;;;6/1/2020;
Prov_Biobío;590;609;;6;;;;6/1/2020;
Prov_Arauco;91;95;;0;;;;6/1/2020;
Prov_Concepción;1443;1581;;40;;;;6/2/2020;
Prov_Biobío;639;660;;9;;;;6/2/2020;
Prov_Arauco;93;97;;0;;;;6/2/2020;
Prov_Concepción;1498;1641;;41;;;;6/3/2020;
Prov_Biobío;665;687;;9;;;;6/3/2020;
Prov_Arauco;98;103;;0;;;;6/3/2020;
Prov_Concepción;1543;1691;;41;;;;6/4/2020;
Prov_Biobío;691;713;;9;;;;6/4/2020;
Prov_Arauco;99;104;;0;;;;6/4/2020;
Prov_Concepción;1593;1745;;43;;;;6/5/2020;
Prov_Biobío;737;761;;10;;;;6/5/2020;
Prov_Arauco;109;114;;0;;;;6/5/2020;
Prov_Concepción;1655;1813;;43;;;;6/6/2020;
Prov_Biobío;776;801;;10;;;;6/6/2020;
Prov_Arauco;111;116;;0;;;;6/6/2020;
Prov_Concepción;1692;1854;;45;;;;6/7/2020;
Prov_Biobío;783;808;;12;;;;6/7/2020;
Prov_Arauco;120;126;;1;;;;6/7/2020;
Prov_Concepción;1712;1876;;45;;;;6/8/2020;
Prov_Biobío;799;825;;12;;;;6/8/2020;
Prov_Arauco;126;132;;1;;;;6/8/2020;
Prov_Concepción;1835;2011;;48;;;;6/9/2020;
Prov_Biobío;815;841;;13;;;;6/9/2020;
Prov_Arauco;131;137;;1;;;;6/9/2020;
Prov_Concepción;1927;2111;;52;;;;6/10/2020;
Prov_Biobío;839;866;;13;;;;6/10/2020;
Prov_Arauco;136;142;;2;;;;6/10/2020;
Prov_Concepción;2002;2194;;54;;;;6/11/2020;
Prov_Biobío;880;908;;13;;;;6/11/2020;
Prov_Arauco;145;152;;4;;;;6/11/2020;
Prov_Concepción;2124;2327;;57;;;;6/12/2020;
Prov_Biobío;916;946;;14;;;;6/12/2020;
Prov_Arauco;149;156;;4;;;;6/12/2020;
Prov_Concepción;2220;2432;;58;;;;6/13/2020;
Prov_Biobío;945;976;;14;;;;6/13/2020;
Prov_Arauco;152;159;;4;;;;6/13/2020;
Prov_Concepción;2250;2465;;62;;;;6/14/2020;
Prov_Biobío;965;996;;15;;;;6/14/2020;
Prov_Arauco;161;168;;4;;;;6/14/2020;
Prov_Concepción;2277;2495;;66;;;;6/15/2020;
Prov_Biobío;986;1018;;15;;;;6/15/2020;
Prov_Arauco;164;172;;4;;;;6/15/2020;
Prov_Concepción;2518;2518;;69;;;;6/16/2020;
Prov_Biobío;1019;1019;;15;;;;6/16/2020;
Prov_Arauco;172;172;;4;;;;6/16/2020;
Prov_Concepción;2719;2719;;70;;;;6/17/2020;
Prov_Biobío;1047;1047;;15;;;;6/17/2020;
Prov_Arauco;176;176;;4;;;;6/17/2020;
Prov_Concepción;2841;2841;;74;;;;6/18/2020;
Prov_Biobío;1100;1100;;16;;;;6/18/2020;
Prov_Arauco;182;182;;4;;;;6/18/2020;
Prov_Concepción;2977;2977;;75;;;;6/19/2020;
Prov_Biobío;1179;1179;;17;;;;6/19/2020;
Prov_Arauco;202;202;;5;;;;6/19/2020;
Prov_Concepción;3119;3119;;77;;;;6/20/2020;
Prov_Biobío;1244;1244;;18;;;;6/20/2020;
Prov_Arauco;217;217;;5;;;;6/20/2020;
Prov_Concepción;3285;3285;;79;;;;6/21/2020;
Prov_Biobío;1305;1305;;19;;;;6/21/2020;
Prov_Arauco;221;221;;6;;;;6/21/2020;
Prov_Concepción;3376;3376;;85;;;;6/22/2020;
Prov_Biobío;1319;1319;;21;;;;6/22/2020;
Prov_Arauco;267;267;;6;;;;6/22/2020;
Prov_Concepción;3458;3458;;85;;;;6/23/2020;
Prov_Biobío;1344;1344;;22;;;;6/23/2020;
Prov_Arauco;278;278;;8;;;;6/23/2020;
Prov_Concepción;3605;3605;;87;;;;6/24/2020;
Prov_Biobío;1405;1405;;23;;;;6/24/2020;
Prov_Arauco;291;291;;9;;;;6/24/2020;
Prov_Concepción;3860;3860;;92;;;;6/25/2020;
Prov_Biobío;1485;1485;;25;;;;6/25/2020;
Prov_Arauco;304;304;;9;;;;6/25/2020;
Prov_Concepción;4004;4004;;93;;;;6/26/2020;
Prov_Biobío;1526;1526;;25;;;;6/26/2020;
Prov_Arauco;313;313;;9;;;;6/26/2020;
Prov_Concepción;4137;4137;;95;;;;6/27/2020;
Prov_Biobío;1589;1589;;25;;;;6/27/2020;
Prov_Arauco;339;339;;9;;;;6/27/2020;
Prov_Concepción;4261;4261;;96;;;;6/28/2020;
Prov_Biobío;1627;1627;;26;;;;6/28/2020;
Prov_Arauco;354;354;;9;;;;6/28/2020;
Prov_Concepción;4344;4344;;100;;;;6/29/2020;
Prov_Biobío;1629;1629;;26;;;;6/29/2020;
Prov_Arauco;363;363;;9;;;;6/29/2020;
Prov_Concepción;4399;4399;;101;;;;6/30/2020;
Prov_Biobío;1709;1709;;26;;;;6/30/2020;
Prov_Arauco;379;379;;9;;;;6/30/2020;
Prov_Concepción;4469;4469;;101;;;;7/1/2020;
Prov_Biobío;1739;1739;;26;;;;7/1/2020;
Prov_Arauco;385;385;;9;;;;7/1/2020;
Prov_Concepción;4561;4561;;102;;;;7/2/2020;
Prov_Biobío;1794;1794;;27;;;;7/2/2020;
Prov_Arauco;393;393;;9;;;;7/2/2020;
Prov_Concepción;4683;4683;;108;;;;7/3/2020;
Prov_Biobío;1827;1827;;28;;;;7/3/2020;
Prov_Arauco;400;400;;9;;;;7/3/2020;
Prov_Concepción;4777;4777;;108;;;;7/4/2020;
Prov_Biobío;1887;1887;;28;;;;7/4/2020;
