Region,Contagiados con Atraso,Contagiados,Muertes,Muertes_DEIS,Recuperados,Infectados_Actuales,UCI,Fecha,Total_Contagiados
Diguillín,2012,2012,,43,,,,7/6/2020,
Itata,128,128,,11,,,,7/6/2020,
Punilla,508,508,,17,,,,7/6/2020,
Diguillín,2050,2050,,44,,,,7/7/2020,
Itata,130,130,,12,,,,7/7/2020,
Punilla,522,522,,17,,,,7/7/2020,
Diguillín,2106,2106,,45,,,,7/8/2020,
Itata,136,136,,13,,,,7/8/2020,
Punilla,540,540,,17,,,,7/8/2020,
Diguillín,2150,2150,,47,,,,7/9/2020,
Itata,140,140,,13,,,,7/9/2020,
Punilla,558,558,,17,,,,7/9/2020,
Diguillín,2199,2199,,47,,,,7/10/2020,
Itata,142,142,,13,,,,7/10/2020,
Punilla,578,578,,17,,,,7/10/2020,
Diguillín,2243,2243,,47,,,,7/11/2020,
Itata,146,146,,13,,,,7/11/2020,
Punilla,586,586,,17,,,,7/11/2020,
Diguillín,2261,2261,,47,,,,7/12/2020,
Itata,146,146,,13,,,,7/12/2020,
Punilla,592,592,,17,,,,7/12/2020,
Diguillín,2273,2273,,48,,,,7/13/2020,
Itata,147,147,,13,,,,7/13/2020,
Punilla,603,603,,17,,,,7/13/2020,
Diguillín,2286,2286,,50,,,,7/14/2020,
Itata,148,148,,13,,,,7/14/2020,
Punilla,609,609,,17,,,,7/14/2020,
Diguillín,2325,2325,,51,,,,7/15/2020,
Itata,152,152,,13,,,,7/15/2020,
Punilla,624,624,,17,,,,7/15/2020,
Diguillín,2339,2339,,51,,,,7/16/2020,
Itata,153,153,,14,,,,7/16/2020,
Punilla,624,624,,17,,,,7/16/2020,
Diguillín,2404,2404,,52,,,,7/17/2020,
Itata,158,158,,14,,,,7/17/2020,
Punilla,652,652,,17,,,,7/17/2020,
Diguillín,2426,2426,,52,,,,7/18/2020,
Itata,159,159,,14,,,,7/18/2020,
Punilla,656,656,,18,,,,7/18/2020,
Diguillín,2448,2448,,54,,,,7/19/2020,
Itata,162,162,,14,,,,7/19/2020,
Punilla,659,659,,18,,,,7/19/2020,
Diguillín,2457,2457,,56,,,,7/20/2020,
Itata,165,165,,14,,,,7/20/2020,
Punilla,669,669,,18,,,,7/20/2020,
Diguillín,2465,2465,,57,,,,7/21/2020,
Itata,165,165,,14,,,,7/21/2020,
Punilla,674,674,,18,,,,7/21/2020,
Diguillín,2489,2489,,58,,,,7/22/2020,
Itata,167,167,,14,,,,7/22/2020,
Punilla,683,683,,18,,,,7/22/2020,
Diguillín,2508,2508,,58,,,,7/23/2020,
Itata,169,169,,14,,,,7/23/2020,
Punilla,689,689,,18,,,,7/23/2020,
Diguillín,2522,2522,,59,,,,7/24/2020,
Itata,169,169,,14,,,,7/24/2020,
Punilla,696,696,,19,,,,7/24/2020,
Diguillín,2528,2528,,59,,,,7/25/2020,
Itata,169,169,,14,,,,7/25/2020,
Punilla,698,698,,20,,,,7/25/2020,
Diguillín,2568,2568,,59,,,,7/26/2020,
Itata,178,178,,14,,,,7/26/2020,
Punilla,707,707,,20,,,,7/26/2020,
Diguillín,2575,2575,,61,,,,7/27/2020,
Itata,182,182,,14,,,,7/27/2020,
Punilla,709,709,,21,,,,7/27/2020,
Diguillín,2598,2598,,61,,,,7/28/2020,
Itata,185,185,,14,,,,7/28/2020,
Punilla,714,714,,21,,,,7/28/2020,
Diguillín,2614,2614,,62,,,,7/29/2020,
Itata,185,185,,15,,,,7/29/2020,
Punilla,722,722,,21,,,,7/29/2020,
Diguillín,2627,2627,,62,,,,7/30/2020,
Itata,190,190,,15,,,,7/30/2020,
Punilla,727,727,,21,,,,7/30/2020,
Diguillín,2648,2648,,62,,,,7/31/2020,
Itata,193,193,,15,,,,7/31/2020,
Punilla,730,730,,21,,,,7/31/2020,
Diguillín,2669,2669,,62,,,,8/1/2020,
Itata,195,195,,16,,,,8/1/2020,
Punilla,734,734,,21,,,,8/1/2020,
Diguillín,2681,2681,,63,,,,8/2/2020,
Itata,195,195,,16,,,,8/2/2020,
Punilla,742,742,,21,,,,8/2/2020,
Diguillín,2686,2686,,65,,,,8/3/2020,
Itata,195,195,,16,,,,8/3/2020,
Punilla,751,751,,22,,,,8/3/2020,
Diguillín,2711,2711,,66,,,,8/4/2020,
Itata,196,196,,16,,,,8/4/2020,
Punilla,753,753,,22,,,,8/4/2020,
Diguillín,2724,2724,,66,,,,8/5/2020,
Itata,196,196,,16,,,,8/5/2020,
Punilla,753,753,,22,,,,8/5/2020,
Diguillín,2765,2765,,66,,,,8/6/2020,
Itata,198,198,,18,,,,8/6/2020,
Punilla,756,756,,22,,,,8/6/2020,
Diguillín,2799,2799,,66,,,,8/7/2020,
Itata,206,206,,18,,,,8/7/2020,
Punilla,764,764,,22,,,,8/7/2020,
Diguillín,2825,2825,,67,,,,8/8/2020,
Itata,207,207,,18,,,,8/8/2020,
Punilla,770,770,,22,,,,8/8/2020,
Diguillín,2847,2847,,68,,,,8/9/2020,
Itata,217,217,,18,,,,8/9/2020,
Punilla,776,776,,22,,,,8/9/2020,
Diguillín,2862,2862,,69,,,,8/10/2020,
Itata,219,219,,18,,,,8/10/2020,
Punilla,779,779,,22,,,,8/10/2020,
Diguillín,2880,2880,,71,,,,8/11/2020,
Itata,222,222,,18,,,,8/11/2020,
Punilla,795,795,,22,,,,8/11/2020,
Diguillín,2894,2894,,71,,,,8/12/2020,
Itata,230,230,,18,,,,8/12/2020,
Punilla,803,803,,22,,,,8/12/2020,
Diguillín,2908,2908,,71,,,,8/13/2020,
Itata,245,245,,18,,,,8/13/2020,
Punilla,804,804,,22,,,,8/13/2020,
Diguillín,2917,2917,,71,,,,8/14/2020,
Itata,245,245,,18,,,,8/14/2020,
Punilla,805,805,,22,,,,8/14/2020,
Diguillín,2925,2925,,71,,,,8/15/2020,
Itata,246,246,,18,,,,8/15/2020,
Punilla,807,807,,22,,,,8/15/2020,
Diguillín,2943,2943,,71,,,,8/16/2020,
Itata,250,250,,19,,,,8/16/2020,
Punilla,819,819,,22,,,,8/16/2020,
Diguillín,2970,2970,,71,,,,8/17/2020,
Itata,250,250,,19,,,,8/17/2020,
Punilla,823,823,,23,,,,8/17/2020,
Diguillín,2992,2992,,71,,,,8/18/2020,
Itata,252,252,,19,,,,8/18/2020,
Punilla,827,827,,24,,,,8/18/2020,
Diguillín,3022,3022,,71,,,,8/19/2020,
Itata,261,261,,19,,,,8/19/2020,
Punilla,832,832,,24,,,,8/19/2020,
Diguillín,3055,3055,,71,,,,8/20/2020,
Itata,262,262,,20,,,,8/20/2020,
Punilla,838,838,,24,,,,8/20/2020,
Diguillín,3103,3103,,71,,,,8/21/2020,
Itata,262,262,,20,,,,8/21/2020,
Punilla,855,855,,25,,,,8/21/2020,
Diguillín,3135,3135,,71,,,,8/22/2020,
Itata,262,262,,21,,,,8/22/2020,
Punilla,862,862,,25,,,,8/22/2020,
Diguillín,3178,3178,,71,,,,8/23/2020,
Itata,265,265,,21,,,,8/23/2020,
Punilla,875,875,,25,,,,8/23/2020,
Diguillín,3209,3209,,71,,,,8/24/2020,
Itata,265,265,,21,,,,8/24/2020,
Punilla,884,884,,25,,,,8/24/2020,
Diguillín,3260,3260,,72,,,,8/25/2020,
Itata,266,266,,21,,,,8/25/2020,
Punilla,901,901,,25,,,,8/25/2020,
Diguillín,3304,3304,,72,,,,8/26/2020,
Itata,270,270,,21,,,,8/26/2020,
Punilla,905,905,,25,,,,8/26/2020,
Diguillín,3373,3373,,72,,,,8/27/2020,
Itata,275,275,,21,,,,8/27/2020,
Punilla,919,919,,25,,,,8/27/2020,
Diguillín,3437,3437,,73,,,,8/28/2020,
Itata,280,280,,21,,,,8/28/2020,
Punilla,938,938,,25,,,,8/28/2020,
Diguillín,3484,3484,,74,,,,8/29/2020,
Itata,283,283,,21,,,,8/29/2020,
Punilla,946,946,,25,,,,8/29/2020,
Diguillín,3549,3549,,75,,,,8/30/2020,
Itata,291,291,,21,,,,8/30/2020,
Punilla,952,952,,26,,,,8/30/2020,
Diguillín,3574,3574,,75,,,,8/31/2020,
Itata,291,291,,21,,,,8/31/2020,
Punilla,952,952,,27,,,,8/31/2020,
Diguillín,3594,3594,,77,,,,9/1/2020,
Itata,297,297,,21,,,,9/1/2020,
Punilla,955,955,,27,,,,9/1/2020,
Diguillín,3633,3633,,78,,,,9/2/2020,
Itata,298,298,,21,,,,9/2/2020,
Punilla,963,963,,27,,,,9/2/2020,
Diguillín,3706,3706,,79,,,,9/3/2020,
Itata,309,309,,21,,,,9/3/2020,
Punilla,972,972,,27,,,,9/3/2020,
Diguillín,3748,3748,,80,,,,9/4/2020,
Itata,316,316,,21,,,,9/4/2020,
Punilla,974,974,,27,,,,9/4/2020,
Diguillín,3820,3820,,80,,,,9/5/2020,
Itata,332,332,,21,,,,9/5/2020,
Punilla,981,981,,28,,,,9/5/2020,
Diguillín,3889,3889,,80,,,,9/6/2020,
Itata,335,335,,21,,,,9/6/2020,
Punilla,990,990,,29,,,,9/6/2020,
Diguillín,3914,3914,,82,,,,9/7/2020,
Itata,336,336,,21,,,,9/7/2020,
Punilla,994,994,,30,,,,9/7/2020,
Diguillín,3941,3941,,83,,,,9/8/2020,
Itata,343,343,,23,,,,9/8/2020,
Punilla,1003,1003,,30,,,,9/8/2020,
Diguillín,3998,3998,,85,,,,9/9/2020,
Itata,359,359,,23,,,,9/9/2020,
Punilla,1020,1020,,30,,,,9/9/2020,
Diguillín,4064,4064,,85,,,,9/10/2020,
Itata,361,361,,23,,,,9/10/2020,
Punilla,1041,1041,,31,,,,9/10/2020,
Diguillín,4135,4135,,88,,,,9/11/2020,
Itata,380,380,,23,,,,9/11/2020,
Punilla,1055,1055,,31,,,,9/11/2020,
Diguillín,4181,4181,,92,,,,9/12/2020,
Itata,388,388,,23,,,,9/12/2020,
Punilla,1073,1073,,31,,,,9/12/2020,
Diguillín,4211,4211,,93,,,,9/13/2020,
Itata,392,392,,23,,,,9/13/2020,
Punilla,1095,1095,,31,,,,9/13/2020,
Diguillín,4228,4228,,93,,,,9/14/2020,
Itata,392,392,,23,,,,9/14/2020,
Punilla,1104,1104,,31,,,,9/14/2020,
Diguillín,4279,4279,,94,,,,9/15/2020,
Itata,394,394,,24,,,,9/15/2020,
Punilla,1115,1115,,31,,,,9/15/2020,
Diguillín,4332,4332,,96,,,,9/16/2020,
Itata,398,398,,25,,,,9/16/2020,
Punilla,1120,1120,,31,,,,9/16/2020,
Diguillín,4360,4360,,98,,,,9/17/2020,
Itata,407,407,,27,,,,9/17/2020,
Punilla,1136,1136,,32,,,,9/17/2020,
Diguillín,4420,4420,,98,,,,9/18/2020,
Itata,415,415,,28,,,,9/18/2020,
Punilla,1147,1147,,32,,,,9/18/2020,
Diguillín,4430,4430,,99,,,,9/19/2020,
Itata,423,423,,29,,,,9/19/2020,
Punilla,1162,1162,,32,,,,9/19/2020,
Diguillín,4445,4445,,100,,,,9/20/2020,
Itata,423,423,,29,,,,9/20/2020,
Punilla,1173,1173,,32,,,,9/20/2020,
Diguillín,4461,4461,,101,,,,9/21/2020,
